,GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
48,Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,FontMetrics,5,68,1,3,2,19,1,4,0,2
49,Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSink.Table,1,93,1,9,1,21,1,7,0,3
50,Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,WMFWriter,384,0,14,0,89,0,20,0,13,0
51,Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,FontMetrics.CharMetrics,0,27,0,0,0,8,0,1,0,1
52,Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,MonospaceBoldItalic,3092,0,0,0,3,0,2,0,2,0
53,Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,SansSerifBold,3092,0,0,0,3,0,2,0,2,0
54,Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSink.Box,0,9,0,0,0,4,0,1,0,1
55,Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,SansSerifBoldItalic,3092,0,0,0,3,0,2,0,2,0
56,Doxia :: Latex Module,org.apache.maven.doxia.module.latex,LatexSink,158,1321,36,69,51,368,40,146,5,117
57,Doxia :: Latex Module,org.apache.maven.doxia.module.latex,LatexSinkFactory,8,0,0,0,2,0,2,0,2,0
58,Doxia :: iText Module,org.apache.maven.doxia.module.itext,ITextSinkFactory,26,0,2,0,6,0,5,0,4,0
59,Doxia :: iText Module,org.apache.maven.doxia.module.itext,ITextSink,415,2478,53,67,95,677,54,117,8,98
60,Doxia :: iText Module,org.apache.maven.doxia.module.itext,ITextUtil,63,107,5,15,14,28,7,10,2,5
61,Doxia :: iText Module,org.apache.maven.doxia.module.itext,ITextFont,31,231,5,21,9,70,5,31,0,21
62,Doxia :: iText Module,org.apache.maven.doxia.module.itext,ITextHeader,24,53,5,5,6,17,5,7,0,7
