Complexity metrics,Sun, 31 Mar 2019 21:38:24 EDT
Method,ev(G),iv(G),v(G)
"org.apache.maven.plugins.shade.mojo.ArchiveFilter.getIncludes()",1,1,1
"org.apache.maven.plugins.shade.mojo.ArtifactId.ArtifactId(Artifact)",1,1,1
"org.apache.maven.plugins.shade.mojo.ArtifactId.ArtifactId(Dependency)",1,1,1
"org.apache.maven.plugins.shade.mojo.ArtifactId.ArtifactId(String)",1,3,8
"org.apache.maven.plugins.shade.mojo.ArtifactId.ArtifactId(String,String,String,String)",1,1,5
"org.apache.maven.plugins.shade.mojo.ArtifactId.getArtifactId()",1,1,1
"org.apache.maven.plugins.shade.mojo.ArtifactId.getClassifier()",1,1,1
"org.apache.maven.plugins.shade.mojo.ArtifactId.getGroupId()",1,1,1
"org.apache.maven.plugins.shade.mojo.ArtifactId.getType()",1,1,1
"org.apache.maven.plugins.shade.mojo.ArtifactId.match(String,String)",1,1,1
"org.apache.maven.plugins.shade.mojo.ArtifactId.matches(ArtifactId)",6,1,6
"org.apache.maven.plugins.shade.mojo.ArtifactIdTest.testIdParsing()",1,1,1
"org.apache.maven.plugins.shade.mojo.ArtifactIdTest.testMatches()",1,1,1
"org.apache.maven.plugins.shade.mojo.ArtifactSelector.ArtifactSelector(Artifact,ArtifactSet,String)",1,5,5
"org.apache.maven.plugins.shade.mojo.ArtifactSelector.ArtifactSelector(Collection<String>,Collection<String>,String)",1,3,3
"org.apache.maven.plugins.shade.mojo.ArtifactSelector.isSelected(Artifact)",1,2,2
"org.apache.maven.plugins.shade.mojo.ArtifactSelector.isSelected(ArtifactId)",1,3,3
"org.apache.maven.plugins.shade.mojo.ArtifactSelector.matches(Collection<ArtifactId>,ArtifactId)",3,2,3
"org.apache.maven.plugins.shade.mojo.ArtifactSelector.toIds(Collection<String>)",1,3,3
"org.apache.maven.plugins.shade.mojo.ArtifactSelectorTest.newSelector(Collection<String>,Collection<String>,String)",1,1,1
"org.apache.maven.plugins.shade.mojo.ArtifactSelectorTest.testIsSelected()",1,1,1
"org.apache.maven.plugins.shade.mojo.ArtifactSet.getExcludes()",1,1,1
"org.apache.maven.plugins.shade.mojo.ArtifactSet.getIncludes()",1,1,1
"org.apache.maven.plugins.shade.mojo.PackageRelocation.getExcludes()",1,1,1
"org.apache.maven.plugins.shade.mojo.PackageRelocation.getIncludes()",1,1,1
"org.apache.maven.plugins.shade.mojo.PackageRelocation.getPattern()",1,1,1
"org.apache.maven.plugins.shade.mojo.PackageRelocation.getShadedPattern()",1,1,1
"org.apache.maven.plugins.shade.mojo.PackageRelocation.isRawString()",1,1,1
"org.apache.maven.plugins.shade.mojo.RelativizePath.RelativizePath()",1,1,1
"org.apache.maven.plugins.shade.mojo.RelativizePath.convertToRelativePath(File,File)",5,7,8
"org.apache.maven.plugins.shade.mojo.RelativizePath.parentDirs(File)",1,3,3
"org.apache.maven.plugins.shade.mojo.RelativizePathTest.runTests()",1,2,2
"org.apache.maven.plugins.shade.mojo.ShadeMojo.addSystemScopedDependencyFromNonInterpolatedPom(List<Dependency>,List<Dependency>)",1,4,4
"org.apache.maven.plugins.shade.mojo.ShadeMojo.contextualize(Context)",1,1,1
"org.apache.maven.plugins.shade.mojo.ShadeMojo.copyFiles(File,File)",1,1,1
"org.apache.maven.plugins.shade.mojo.ShadeMojo.createDependency(Artifact)",1,3,3
"org.apache.maven.plugins.shade.mojo.ShadeMojo.createDependencyReducedPom(Set<String>)",3,5,7
"org.apache.maven.plugins.shade.mojo.ShadeMojo.createErrorOutput()",1,1,1
"org.apache.maven.plugins.shade.mojo.ShadeMojo.createShadeSourcesRequest(Set<File>,File,List<Filter>,List<Relocator>,List<ResourceTransformer>)",1,1,1
"org.apache.maven.plugins.shade.mojo.ShadeMojo.execute()",3,25,25
"org.apache.maven.plugins.shade.mojo.ShadeMojo.getFilters()",5,10,12
"org.apache.maven.plugins.shade.mojo.ShadeMojo.getId(Artifact)",1,1,1
"org.apache.maven.plugins.shade.mojo.ShadeMojo.getId(Dependency)",1,1,1
"org.apache.maven.plugins.shade.mojo.ShadeMojo.getId(String,String,String,String)",1,1,2
"org.apache.maven.plugins.shade.mojo.ShadeMojo.getRelocators()",2,2,3
"org.apache.maven.plugins.shade.mojo.ShadeMojo.getResourceTransformers()",2,2,2
"org.apache.maven.plugins.shade.mojo.ShadeMojo.invalidMainArtifact()",1,2,2
"org.apache.maven.plugins.shade.mojo.ShadeMojo.processArtifactSelectors(Set<File>,Set<String>,Set<File>,ArtifactSelector)",4,6,6
"org.apache.maven.plugins.shade.mojo.ShadeMojo.removeSystemScopedDependencies(Set<String>,List<Dependency>)",1,4,4
"org.apache.maven.plugins.shade.mojo.ShadeMojo.replaceFile(File,File)",3,7,8
"org.apache.maven.plugins.shade.mojo.ShadeMojo.resolveArtifactSources(Artifact)",2,3,3
"org.apache.maven.plugins.shade.mojo.ShadeMojo.rewriteDependencyReducedPomIfWeHaveReduction(List<Dependency>,boolean,List<Dependency>,Model)",1,10,11
"org.apache.maven.plugins.shade.mojo.ShadeMojo.setupHintedShader()",2,2,3
"org.apache.maven.plugins.shade.mojo.ShadeMojo.shadeRequest(Set<File>,File,List<Filter>,List<Relocator>,List<ResourceTransformer>)",1,1,1
"org.apache.maven.plugins.shade.mojo.ShadeMojo.shadedArtifactFileWithClassifier()",1,1,1
"org.apache.maven.plugins.shade.mojo.ShadeMojo.shadedSourceArtifactFileWithClassifier()",1,1,1
