Complexity metrics,Sun, 31 Mar 2019 21:55:22 EDT
Method,ev(G),iv(G),v(G)
"org.apache.maven.doxia.index.IndexingSink.text(String)",2,2,4
"org.apache.maven.doxia.index.IndexingSink.title()",1,1,1
"org.apache.maven.doxia.index.IndexingSink.title_()",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.PlexusLoggerWrapper(Logger)",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.debug(CharSequence)",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.debug(CharSequence,Throwable)",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.debug(Throwable)",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.error(CharSequence)",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.error(CharSequence,Throwable)",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.error(Throwable)",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.info(CharSequence)",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.info(CharSequence,Throwable)",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.info(Throwable)",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.isDebugEnabled()",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.isErrorEnabled()",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.isInfoEnabled()",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.isWarnEnabled()",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.setLogLevel(int)",1,5,5
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.toString(CharSequence)",2,1,2
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.warn(CharSequence)",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.warn(CharSequence,Throwable)",1,1,1
"org.apache.maven.doxia.logging.PlexusLoggerWrapper.warn(Throwable)",1,1,1
"org.apache.maven.doxia.logging.SystemStreamLog.debug(CharSequence)",1,2,2
"org.apache.maven.doxia.logging.SystemStreamLog.debug(CharSequence,Throwable)",1,2,2
"org.apache.maven.doxia.logging.SystemStreamLog.debug(Throwable)",1,2,2
"org.apache.maven.doxia.logging.SystemStreamLog.error(CharSequence)",1,2,2
"org.apache.maven.doxia.logging.SystemStreamLog.error(CharSequence,Throwable)",1,2,2
"org.apache.maven.doxia.logging.SystemStreamLog.error(Throwable)",1,2,2
"org.apache.maven.doxia.logging.SystemStreamLog.info(CharSequence)",1,2,2
"org.apache.maven.doxia.logging.SystemStreamLog.info(CharSequence,Throwable)",1,2,2
"org.apache.maven.doxia.logging.SystemStreamLog.info(Throwable)",1,2,2
"org.apache.maven.doxia.logging.SystemStreamLog.isDebugEnabled()",1,1,1
"org.apache.maven.doxia.logging.SystemStreamLog.isErrorEnabled()",1,1,1
"org.apache.maven.doxia.logging.SystemStreamLog.isInfoEnabled()",1,1,1
"org.apache.maven.doxia.logging.SystemStreamLog.isWarnEnabled()",1,1,1
"org.apache.maven.doxia.logging.SystemStreamLog.print(String,CharSequence)",1,1,1
"org.apache.maven.doxia.logging.SystemStreamLog.print(String,CharSequence,Throwable)",1,1,1
"org.apache.maven.doxia.logging.SystemStreamLog.print(String,Throwable)",1,1,1
"org.apache.maven.doxia.logging.SystemStreamLog.setLogLevel(int)",1,1,5
"org.apache.maven.doxia.logging.SystemStreamLog.warn(CharSequence)",1,2,2
"org.apache.maven.doxia.logging.SystemStreamLog.warn(CharSequence,Throwable)",1,2,2
"org.apache.maven.doxia.logging.SystemStreamLog.warn(Throwable)",1,2,2
"org.apache.maven.doxia.macro.AbstractMacro.enableLogging(Log)",1,1,1
"org.apache.maven.doxia.macro.AbstractMacro.getAttributesFromMap(Map<?, ?>)",3,2,4
"org.apache.maven.doxia.macro.AbstractMacro.getLog()",1,1,2
"org.apache.maven.doxia.macro.AbstractMacro.required(String,String)",2,1,2
"org.apache.maven.doxia.macro.EchoMacro.execute(Sink,MacroRequest)",3,3,4
"org.apache.maven.doxia.macro.EchoMacroTest.testExecute()",1,1,1
"org.apache.maven.doxia.macro.EchoMacroTest.testLog()",1,1,1
"org.apache.maven.doxia.macro.MacroExecutionException.MacroExecutionException(String)",1,1,1
"org.apache.maven.doxia.macro.MacroExecutionException.MacroExecutionException(String,Throwable)",1,1,1
"org.apache.maven.doxia.macro.MacroRequest.MacroRequest(Map<String, Object>,File)",1,1,1
"org.apache.maven.doxia.macro.MacroRequest.MacroRequest(String,AbstractParser,Map<String, Object>,File)",1,1,1
"org.apache.maven.doxia.macro.MacroRequest.getBasedir()",1,1,1
"org.apache.maven.doxia.macro.MacroRequest.getParameter(String)",1,1,1
"org.apache.maven.doxia.macro.MacroRequest.getParameters()",1,1,1
"org.apache.maven.doxia.macro.MacroRequest.getParser()",1,1,1
"org.apache.maven.doxia.macro.MacroRequest.getSourceContent()",1,1,1
"org.apache.maven.doxia.macro.MacroRequest.isInternalParameter(String)",1,2,2
"org.apache.maven.doxia.macro.MacroRequest.setBasedir(File)",1,1,1
"org.apache.maven.doxia.macro.SsiMacro.execute(Sink,MacroRequest)",1,3,3
"org.apache.maven.doxia.macro.SsiMacro.isInternalParameter(String)",1,2,2
"org.apache.maven.doxia.macro.SsiMacroTest.testExecute()",1,1,1
"org.apache.maven.doxia.macro.SwfMacro.execute(Sink,MacroRequest)",3,14,25
"org.apache.maven.doxia.macro.SwfMacroTest.testExecute()",1,3,3
"org.apache.maven.doxia.macro.SwfMacroTest.testOthersThenStringParameters()",1,1,1
"org.apache.maven.doxia.macro.manager.DefaultMacroManager.getMacro(String)",2,1,2
"org.apache.maven.doxia.macro.manager.MacroManagerTest.testMacroManager()",1,2,2
"org.apache.maven.doxia.macro.manager.MacroNotFoundException.MacroNotFoundException(String)",1,1,1
"org.apache.maven.doxia.macro.manager.MacroNotFoundException.MacroNotFoundException(String,Throwable)",1,1,1
"org.apache.maven.doxia.macro.manager.MacroNotFoundException.MacroNotFoundException(Throwable)",1,1,1
"org.apache.maven.doxia.macro.snippet.SnippetMacro.cacheSnippet(URL,String,String)",1,1,1
"org.apache.maven.doxia.macro.snippet.SnippetMacro.execute(Sink,MacroRequest)",3,9,12
"org.apache.maven.doxia.macro.snippet.SnippetMacro.getCachedSnippet(URL,String)",1,2,2
"org.apache.maven.doxia.macro.snippet.SnippetMacro.getSnippet(URL,String,String)",3,6,6
"org.apache.maven.doxia.macro.snippet.SnippetMacro.getTimeCached(URL,String)",1,2,2
"org.apache.maven.doxia.macro.snippet.SnippetMacro.globalSnippetId(URL,String)",2,2,2
"org.apache.maven.doxia.macro.snippet.SnippetMacro.isCacheTimedout(URL,String)",1,1,1
"org.apache.maven.doxia.macro.snippet.SnippetMacro.removeFromCache(URL,String)",1,1,1
"org.apache.maven.doxia.macro.snippet.SnippetMacro.setCacheTimeout(int)",1,1,1
"org.apache.maven.doxia.macro.snippet.SnippetMacro.timeInCache(URL,String)",1,1,1
"org.apache.maven.doxia.macro.snippet.SnippetMacroTest.executeSnippetMacro(Map<String, Object>)",1,1,1
"org.apache.maven.doxia.macro.snippet.SnippetMacroTest.testExecute()",1,1,2
"org.apache.maven.doxia.macro.snippet.SnippetMacroTest.testIgnoreDownloadError()",1,1,1
"org.apache.maven.doxia.macro.snippet.SnippetReader.SnippetReader(URL)",1,1,1
"org.apache.maven.doxia.macro.snippet.SnippetReader.SnippetReader(URL,String)",1,1,1
"org.apache.maven.doxia.macro.snippet.SnippetReader.indent(String)",3,1,3
"org.apache.maven.doxia.macro.snippet.SnippetReader.isDemarcator(String,String,String)",1,3,3
"org.apache.maven.doxia.macro.snippet.SnippetReader.isEnd(String,String)",1,1,1
"org.apache.maven.doxia.macro.snippet.SnippetReader.isStart(String,String)",1,1,1
"org.apache.maven.doxia.macro.snippet.SnippetReader.minIndent(List<String>)",1,2,2
"org.apache.maven.doxia.macro.snippet.SnippetReader.readLines(String)",7,8,12
"org.apache.maven.doxia.macro.snippet.SnippetReader.readSnippet(String)",1,2,2
"org.apache.maven.doxia.macro.snippet.SnippetReaderTest.testIsDemarcator()",1,1,1
