GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,IncludeResourceTransformer,34,0,2,0,9,0,6,0,5,0
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,ManifestResourceTransformer,87,0,12,0,23,0,11,0,5,0
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,DontIncludeResourceTransformer,16,0,2,0,7,0,6,0,5,0
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,ServicesResourceTransformer,80,0,8,0,21,0,9,0,5,0
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,XmlAppendingTransformer,129,18,13,3,30,5,10,3,3,2
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,ComponentsXmlResourceTransformer.new BufferedInputStream() {...},0,8,0,0,0,2,0,2,0,2
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,XmlAppendingTransformer.new EntityResolver() {...},14,0,0,0,2,0,2,0,2,0
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,ServicesResourceTransformer.ServiceStream,41,0,6,0,7,0,6,0,3,0
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,AppendingTransformer,38,20,3,3,9,5,5,3,3,2
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,ApacheNoticeResourceTransformer,388,46,54,4,81,13,30,4,3,2
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,ApacheLicenseResourceTransformer,4,25,0,4,3,6,3,4,3,2
Maven Shade Plugin,org.apache.maven.plugins.shade.resource,ComponentsXmlResourceTransformer,23,271,11,27,5,62,11,17,0,9
Maven Shade Plugin,org.apache.maven.plugins.shade.relocation,SimpleRelocator,25,197,9,27,6,40,6,20,0,8
Maven Shade Plugin,org.apache.maven.plugins.shade.relocation,Relocator,11,0,2,0,1,0,2,0,1,0
Maven Shade Plugin,org.apache.maven.plugins.shade.filter,MinijarFilter,146,0,4,0,28,0,6,0,4,0
Maven Shade Plugin,org.apache.maven.plugins.shade.filter,SimpleFilter,4,146,4,24,1,31,5,18,1,8
Maven Shade Plugin,org.apache.maven.plugins.shade.pom,MavenJDOMWriter,4900,0,534,0,922,0,335,0,68,0
Maven Shade Plugin,org.apache.maven.plugins.shade.pom,PomWriter,95,0,6,0,19,0,6,0,3,0
Maven Shade Plugin,org.apache.maven.plugins.shade.pom,MavenJDOMWriter.Counter,25,0,0,0,8,0,4,0,4,0
Maven Shade Plugin,org.apache.maven.plugins.shade.mojo,PackageRelocation,15,0,0,0,5,0,5,0,5,0
Maven Shade Plugin,org.apache.maven.plugins.shade.mojo,ArtifactId,16,162,4,28,3,32,5,21,1,9
Maven Shade Plugin,org.apache.maven.plugins.shade.mojo,ArchiveFilter,0,12,0,0,0,4,0,4,0,4
Maven Shade Plugin,org.apache.maven.plugins.shade.mojo,ShadeMojo,1070,148,109,13,221,32,71,5,12,3
Maven Shade Plugin,org.apache.maven.plugins.shade.mojo,ArtifactSelector,41,99,10,18,6,20,7,13,2,4
Maven Shade Plugin,org.apache.maven.plugins.shade.mojo,ArtifactSet,9,0,0,0,3,0,3,0,3,0
Maven Shade Plugin,org.apache.maven.plugins.shade.mojo,HelpMojo,678,0,54,0,134,0,34,0,7,0
Maven Shade Plugin,org.apache.maven.plugins.shade,ShadingResult,3,0,0,0,1,0,1,0,1,0
Maven Shade Plugin,org.apache.maven.plugins.shade,Shader,1,10,1,1,0,1,1,1,0,1
Maven Shade Plugin,org.apache.maven.plugins.shade,DefaultShader,147,371,22,36,36,86,16,22,0,9
Maven Shade Plugin,org.apache.maven.plugins.shade,DefaultShader.RelocatorRemapper,49,126,4,14,8,33,4,9,0,4
Maven Shade Plugin,org.apache.maven.plugins.shade,TempRemappingClassAdapter.MethodRemapVisitor,20,7,2,0,2,2,2,1,1,1
Maven Shade Plugin,org.apache.maven.plugins.shade,TempRemappingClassAdapter,0,21,0,0,0,4,0,3,0,3
Maven Shade Plugin,org.apache.maven.plugins.shade,TempRemappingClassAdapter.FieldRemapVisitor,20,11,2,0,2,4,2,1,1,1
,,,8129,1698,878,202,,,,,,
,,statement,0.172789254,,,,,,,,,
,,branch,0.187037037,,,,,,,,,
