,GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
41,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.throttling,InvokerStorage,33,140,7,19,6,34,7,9,0,3
42,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.throttling,DefaultThrottledStrategy,0,10,0,0,0,2,0,2,0,2
43,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.throttling,Invoker,13,68,0,4,6,14,1,4,1,2
44,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.throttling,ThrottledInterceptor,0,8,0,0,0,2,0,2,0,2
45,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.conversation,ConversationBeanHolder,0,3,0,0,0,1,0,1,0,1
46,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.conversation,ConversationKey,105,88,21,15,25,22,16,8,1,5
47,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.conversation,GroupedConversationArtifactProducer,0,22,0,0,0,5,0,3,0,3
48,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.conversation,GroupedConversationContext,18,201,3,19,4,48,4,17,1,9
49,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.conversation,InjectableGroupedConversation,0,27,0,0,0,8,0,2,0,2
50,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.conversation,InjectableGroupedConversationManager,8,27,1,1,2,9,1,5,0,5
51,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.future,ThreadPoolManager,191,331,19,19,41,69,16,7,1,3
52,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.future,DefaultFutureableStrategy,89,149,24,10,20,45,15,6,0,4
53,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.future,DefaultFutureableStrategy.CallKey,76,0,20,0,11,0,14,0,4,0
