,GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
151,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction.context,TransactionBeanStorage,26,158,7,17,7,45,7,21,0,16
148,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction.context,TransactionBeanStorage.TransactionContextInfo,0,19,0,0,0,4,0,1,0,1
149,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction.context,TransactionContext,34,61,4,8,9,18,4,7,0,5
152,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction.context,TransactionContextExtension,1,26,1,1,1,8,1,3,0,3
155,Apache DeltaSpike JPA-Module API,org.apache.deltaspike.jpa.api.transaction,TransactionHelper,12,0,0,0,3,0,3,0,3,0
452,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.transaction,TransactionStatementDecoratorFactory,2,25,0,0,1,7,1,4,1,4
451,Apache DeltaSpike Test-Control-Module Impl,org.apache.deltaspike.testcontrol.impl.transaction,TransactionStatementDecoratorFactory.TransactionAwareRunAfters,65,94,11,9,20,23,8,5,0,3
142,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction,TransactionStrategyHelper,3,149,5,23,0,34,5,14,0,5
362,Apache DeltaSpike Core-API,org.apache.deltaspike.core.api.literal,TypedLiteral,6,10,0,0,3,4,1,2,1,2
185,Apache DeltaSpike Security Example CDI,org.apache.deltaspike.example.security.requestedpage.cdi,UserEvent,3,0,0,0,1,0,1,0,1,0
182,Apache DeltaSpike Security Example CDI,org.apache.deltaspike.example.security.requestedpage.cdi,UserEvent.LoggedIn,3,0,0,0,1,0,1,0,1,0
189,Apache DeltaSpike Security Example CDI,org.apache.deltaspike.example.security.requestedpage.cdi,UserEvent.LoginFailed,3,0,0,0,1,0,1,0,1,0
144,Apache DeltaSpike JPA-Module Impl,org.apache.deltaspike.jpa.impl.transaction,UserTransactionResolver,61,0,6,0,20,0,5,0,2,0
7,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.injection.proxy,ValidatorInvocationHandler,14,0,0,0,3,0,2,0,2,0
48,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.injection,ValidatorWrapper,31,0,2,0,10,0,5,0,4,0
105,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.util,ValueExpressionEvaluationInputStream,33,215,9,27,6,49,7,15,0,4
220,Apache DeltaSpike CDI ContainerControl TCK,org.apache.deltaspike.cdise.tck.control,VersionControlRule,10,0,0,0,2,0,2,0,2,0
219,Apache DeltaSpike CDI ContainerControl TCK,org.apache.deltaspike.cdise.tck.control,VersionControlRule.new Statement() {...},90,0,10,0,18,0,9,0,4,0
109,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.AbstractNameBuilder,9,0,0,0,3,0,2,0,2,0
111,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.DefaultBasePathBuilder,105,0,24,0,20,0,14,0,2,0
110,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.DefaultExtensionBuilder,19,0,4,0,6,0,4,0,2,0
113,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.DefaultFileNameBuilder,42,0,6,0,9,0,5,0,2,0
115,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.NavigationMode,34,0,0,0,2,0,1,0,1,0
116,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.ViewConfigPreProcessor,250,0,42,0,70,0,29,0,8,0
112,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.ViewParameterMode,34,0,0,0,2,0,1,0,1,0
293,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.viewaccess,ViewAccessBeanAccessHistory,0,11,0,0,0,3,0,2,0,2
295,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.viewaccess,ViewAccessBeanHolder,0,3,0,0,0,1,0,1,0,1
297,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.viewaccess,ViewAccessContext,6,152,6,12,3,36,7,13,1,10
298,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.viewaccess,ViewAccessContextArtifactProducer,10,0,0,0,2,0,2,0,2,0
59,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.viewaccess,ViewAccessScopedAwareNavigationHandler,60,0,12,0,20,0,10,0,4,0
454,Apache DeltaSpike JSF Playground,org.apache.deltaspike.playground.scope.viewaccess,ViewAccessScopedBean,22,0,0,0,10,0,6,0,6,0
470,Apache DeltaSpike JSF Examples,org.apache.deltaspike.example.scope,ViewAccessScopedBean,6,0,0,0,3,0,2,0,2,0
294,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.viewaccess,ViewAccessViewHistory,0,10,0,0,0,4,0,3,0,3
453,Apache DeltaSpike JSF Playground,org.apache.deltaspike.playground.windowhandling,ViewActionController,47,0,0,0,11,0,5,0,5,0
93,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view.navigation,ViewConfigAwareNavigationHandler,328,0,54,0,90,0,36,0,9,0
14,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewConfigExtension,754,0,88,0,180,0,68,0,24,0
17,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewConfigExtension.new ViewConfigExtension.VetoCallback() {...},7,0,0,0,2,0,2,0,2,0
