,GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
14,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,DefaultFolderConfigDescriptor,12,0,0,0,4,0,2,0,2,0
15,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewConfigResolverProducer,59,0,6,0,16,0,8,0,5,0
16,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewConfigExtension.new ViewConfigExtension.VetoCallback() {...},7,0,0,0,2,0,2,0,2,0
17,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewConfigExtension.new ViewConfigExtension.VetoCallback() {...},13,0,0,0,3,0,2,0,2,0
18,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,DefaultViewConfigResolver,483,0,50,0,106,0,35,0,10,0
19,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewControllerActionListener,32,0,2,0,10,0,3,0,2,0
20,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,PageViewConfigNode,11,0,0,0,4,0,2,0,2,0
21,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,DefaultConfigNodeConverter,583,0,78,0,132,0,50,0,11,0
22,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,DefaultErrorViewAwareExceptionHandlerWrapper,153,0,28,0,48,0,20,0,6,0
23,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,AbstractConfigNode,73,0,4,0,20,0,10,0,8,0
24,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,DefaultViewConfigInheritanceStrategy,320,0,54,0,72,0,35,0,8,0
25,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,DefaultViewPathConfigDescriptor,15,0,0,0,5,0,3,0,3,0
26,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,FolderConfigNode,65,0,4,0,14,0,5,0,3,0
27,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,AbstractPathConfigDescriptor,138,0,20,0,31,0,20,0,10,0
28,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view,ViewConfigPathValidator,175,0,16,0,42,0,15,0,7,0
29,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.view,DeltaSpikeViewHandler,80,0,8,0,22,0,11,0,7,0
30,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,JsfUtils,605,0,92,0,122,0,64,0,18,0
31,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,RequestParameter,19,0,0,0,7,0,4,0,4,0
32,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,ClientWindowHelper.RequestParameters,6,0,0,0,1,0,1,0,1,0
33,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,ClientWindowHelper,229,0,20,0,49,0,20,0,10,0
34,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,ViewControllerUtils,19,0,4,0,7,0,4,0,2,0
35,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,ClientWindowHelper.Cookies,6,0,0,0,1,0,1,0,1,0
36,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,SecurityUtils,292,0,56,0,86,0,38,0,10,0
37,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,SharedStringBuilder,31,0,2,0,8,0,4,0,3,0
38,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.util,ViewConfigUtils,41,0,12,0,11,0,9,0,3,0
39,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.mapped,Jsf2BeanWrapper,99,0,4,0,21,0,12,0,10,0
40,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.mapped,MappedJsf2ScopeExtension,142,0,14,0,34,0,14,0,7,0
41,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.injection,RequestDependentBeanStorage,3,0,0,0,1,0,1,0,1,0
42,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.injection,ManagedArtifactResolver,76,0,10,0,16,0,8,0,3,0
43,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.injection,InjectionAwareApplicationWrapper,153,0,30,0,41,0,25,0,10,0
44,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.injection,DependentBeanEntry,21,0,0,0,8,0,4,0,4,0
45,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.injection,AbstractBeanStorage,50,0,2,0,13,0,5,0,4,0
46,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.injection,AbstractContextualReferenceWrapper,183,0,30,0,45,0,25,0,10,0
47,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.injection,ValidatorWrapper,31,0,2,0,10,0,5,0,4,0
48,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.injection,ConverterWrapper,50,0,4,0,12,0,7,0,5,0
49,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.token,PostRequestTokenManager,41,0,2,0,14,0,6,0,5,0
50,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.token,DoubleSubmitAwarePhaseListener,76,0,16,0,20,0,13,0,5,0
51,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.system,JsfSystemEventBroadcaster,26,0,2,0,10,0,4,0,3,0
52,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.security,SecurityAwareViewHandler,228,0,34,0,64,0,25,0,8,0
53,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.security,ViewRootAccessHandler,130,0,18,0,32,0,13,0,4,0
54,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.security,AccessDeniedExceptionBroadcaster,20,0,0,0,7,0,2,0,2,0
55,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.navigation,DeltaSpikeNavigationHandlerWrapper,33,0,0,0,9,0,5,0,5,0
